v;trim;geo;cod-ca;ca;cod-prv;prv;loc-num;loc-imp;loc-pm2;nav-num;nav-imp;nav-pm2
2007;2;Provincia;4;Illes Balears;7;Illes Balears;2065;217608;1796,42;197;509380;874,76
2007;2;Comunidad;5;Canarias;98;CANARIAS;3241;195679;1877,99;212;734197;778,00
2007;2;Provincia;5;Canarias;35;Las Palmas;1522;203336;2040,99;134;787548;797,93
2007;2;Provincia;5;Canarias;38;Santa Cruz de Tenerife;1719;188783;1731,19;78;648835;746,10
2007;2;Comunidad;6;Cantabria;98;CANTABRIA;1091;127373;1538,63;119;381590;764,66
2007;2;Provincia;6;Cantabria;39;Cantabria;1091;127373;1538,63;119;381590;764,66
2007;2;Comunidad;7;Castilla y León;98;CASTILLA Y LEÓN;3948;139105;1298,11;553;299957;591,25
2007;2;Provincia;7;Castilla y León;5;Ávila;167;71299;881,15;32;65384;432,97
2007;2;Provincia;7;Castilla y León;9;Burgos;735;151193;1419,50;187;371292;701,21
2007;2;Provincia;7;Castilla y León;24;León;826;131048;1048,70;51;230273;358,02
2007;2;Provincia;7;Castilla y León;34;Palencia;233;83016;1080,72;26;155928;362,49
2007;2;Provincia;7;Castilla y León;37;Salamanca;458;173756;1336,05;58;242334;494,84
2007;2;Provincia;7;Castilla y León;40;Segovia;134;119377;1285,30;32;602219;670,77
2007;2;Provincia;7;Castilla y León;42;Soria;147;89791;1061,83;33;388833;404,23
2007;2;Provincia;7;Castilla y León;47;Valladolid;1022;136378;1580,83;119;285071;654,49
2007;2;Provincia;7;Castilla y León;49;Zamora;226;220834;1314,04;15;212922;347,13
2007;2;Comunidad;8;Castilla-La Mancha;98;CASTILLA-LA MANCHA;2220;144859;1163,90;1251;309324;517,25
2007;2;Provincia;8;Castilla-La Mancha;2;Albacete;685;133888;984,27;349;234431;437,58
2007;2;Provincia;8;Castilla-La Mancha;13;Ciudad Real;506;137514;1149,73;163;237762;363,32
2007;2;Provincia;8;Castilla-La Mancha;16;Cuenca;194;115487;1074,24;19;115375;338,33
2007;2;Provincia;8;Castilla-La Mancha;19;Guadalajara;265;195116;1442,03;141;287408;588,80
2007;2;Provincia;8;Castilla-La Mancha;45;Toledo;570;148763;1272,39;579;391618;594,53
2007;2;Comunidad;9;Cataluña;98;CATALUÑA;13686;221601;2097,29;2604;1232230;1043,42
2007;2;Provincia;9;Cataluña;8;Barcelona;9534;251778;2398,76;1644;1790046;1319,32
2007;2;Provincia;9;Cataluña;17;Girona;1625;158727;1617,67;372;632227;802,10
2007;2;Provincia;9;Cataluña;25;Lleida;1081;171740;1270,32;218;444874;579,42
2007;2;Provincia;9;Cataluña;43;Tarragona;1446;141157;1355,04;370;484069;668,06
2007;2;Comunidad;10;Comunitat Valenciana;98;COMUNITAT VALENCIANA;10119;152529;1377,49;1930;532538;694,53
2007;2;Provincia;10;Comunitat Valenciana;3;Alicante / Alacant;4143;145939;1337,21;459;339218;633,04
2007;2;Provincia;10;Comunitat Valenciana;12;Castellón / Castelló;1350;113665;1187,37;476;632943;722,23
2007;2;Provincia;10;Comunitat Valenciana;46;Valencia / València;4626;170259;1471,44;995;553682;703,30
2007;2;Comunidad;11;Extremadura;98;EXTREMADURA;1331;108128;962,56;443;131649;320,18
2007;2;Provincia;11;Extremadura;6;Badajoz;854;115430;1021,49;282;145307;338,70
2007;2;Provincia;11;Extremadura;10;Cáceres;477;95849;863,46;161;93049;267,83
2007;2;Comunidad;12;Galicia;98;GALICIA;3980;126751;1133,56;281;492197;483,77
2007;2;Provincia;12;Galicia;15;A Coruña;1304;114529;1097,25;120;391082;484,79
2007;2;Provincia;12;Galicia;27;Lugo;726;103560;883,75;35;424436;357,86
2007;2;Provincia;12;Galicia;32;Ourense;524;99990;827,77;15;270734;297,83
2007;2;Provincia;12;Galicia;36;Pontevedra;1426;159230;1394,58;111;650839;549,48
2007;2;Comunidad;13;Comunidad de Madrid;98;COMUNIDAD DE MADRID;9227;311372;2953,55;1211;792527;1226,88
2007;2;Provincia;13;Comunidad de Madrid;28;Madrid;9227;311372;2953,55;1211;792527;1226,88
2007;2;Comunidad;14;Región de Murcia;98;REGIÓN DE MURCIA;2688;128085;1146,38;530;319604;415,44
2007;2;Provincia;14;Región de Murcia;30;Murcia;2688;128085;1146,38;530;319604;415,44
2007;2;Comunidad;15;C. Foral de Navarra;98;C. FORAL DE NAVARRA;1508;138287;1514,90;385;467314;828,96
2007;2;Provincia;15;C. Foral de Navarra;31;Navarra;1508;138287;1514,90;385;467314;828,96
2007;2;Comunidad;16;País Vasco;98;PAÍS VASCO;7117;184688;2117,01;1030;712573;1039,96
2007;2;Provincia;16;País Vasco;1;Araba / Álava;740;169218;1803,19;176;303234;603,46
2007;2;Provincia;16;País Vasco;20;Gipuzkoa;2571;167901;2124,58;437;599064;1015,71
2007;2;Provincia;16;País Vasco;48;Bizkaia;3806;199172;2168,31;417;947855;1186,30
2007;2;Comunidad;17;La Rioja;98;LA RIOJA;2202;108540;1258,34;96;238728;574,71
2007;2;Provincia;17;La Rioja;26;La Rioja;2202;108540;1258,34;96;238728;574,71
2007;2;Comunidad;18;Ceuta;98;CEUTA;39;161051;1350,48;2;180000;633,80
2007;2;Provincia;18;Ceuta;51;Ceuta;39;161051;1350,48;2;180000;633,80
2007;2;Comunidad;19;Melilla;98;MELILLA;85;128015;1071,25;21;160888;714,56
2007;2;Provincia;19;Melilla;52;Melilla;85;128015;1071,25;21;160888;714,56
2007;3;Nacional;99;ESPAÑA;99;ESPAÑA;79807;186828;1776,77;15079;558838;768,72
2007;3;Comunidad;1;Andalucía;98;ANDALUCÍA;13466;139536;1434,89;2922;298303;580,01
2007;3;Provincia;1;Andalucía;4;Almería;1087;139270;1257,17;187;248174;526,63
2007;3;Provincia;1;Andalucía;11;Cádiz;2051;135062;1576,51;405;488256;654,35
2007;3;Provincia;1;Andalucía;14;Córdoba;1358;133529;1104,18;232;171500;401,68
2007;3;Provincia;1;Andalucía;18;Granada;2074;105203;1145,04;252;381515;509,09
2007;3;Provincia;1;Andalucía;21;Huelva;651;146939;1364,89;261;147303;451,91
2007;3;Provincia;1;Andalucía;23;Jaén;904;132082;919,55;179;191460;374,87
2007;3;Provincia;1;Andalucía;29;Málaga;2790;176554;1912,51;358;476101;772,29
2007;3;Provincia;1;Andalucía;41;Sevilla;2551;134872;1505,01;1048;228432;593,44
2007;3;Comunidad;2;Aragón;98;ARAGÓN;1953;208481;1602,32;980;396653;672,45
2007;3;Provincia;2;Aragón;22;Huesca;460;113147;1246,87;100;370224;522,12
2007;3;Provincia;2;Aragón;44;Teruel;157;97623;892,76;54;386763;344,64
2007;3;Provincia;2;Aragón;50;Zaragoza;1336;249623;1787,40;826;399773;702,96
2007;3;Comunidad;3;Principado de Asturias;98;PRINCIPADO DE ASTURIAS;1795;215254;1266,96;221;420575;579,23
2007;3;Provincia;3;Principado de Asturias;33;Asturias;1795;215254;1266,96;221;420575;579,23
2007;3;Comunidad;4;Illes Balears;98;ILLES BALEARS;1938;209910;1822,36;166;587698;1025,82
2007;3;Provincia;4;Illes Balears;7;Illes Balears;1938;209910;1822,36;166;587698;1025,82
2007;3;Comunidad;5;Canarias;98;CANARIAS;2974;203412;1886,99;205;807018;839,89
2007;3;Provincia;5;Canarias;35;Las Palmas;1353;205035;1998,53;129;896756;877,46
2007;3;Provincia;5;Canarias;38;Santa Cruz de Tenerife;1621;202017;1791,11;76;677735;785,76
2007;3;Comunidad;6;Cantabria;98;CANTABRIA;1062;120771;1557,79;137;385769;691,18
2007;3;Provincia;6;Cantabria;39;Cantabria;1062;120771;1557,79;137;385769;691,18
2007;3;Comunidad;7;Castilla y León;98;CASTILLA Y LEÓN;3794;141185;1338,75;661;299096;583,57
2007;3;Provincia;7;Castilla y León;5;Ávila;169;77554;937,00;27;563691;383,03
2007;3;Provincia;7;Castilla y León;9;Burgos;669;148940;1458,43;201;378519;729,73
2007;3;Provincia;7;Castilla y León;24;León;762;130402;1009,93;60;227998;328,61
2007;3;Provincia;7;Castilla y León;34;Palencia;183;111004;1242,78;24;180708;350,97
2007;3;Provincia;7;Castilla y León;37;Salamanca;465;185953;1477,87;66;411232;550,40
2007;3;Provincia;7;Castilla y León;40;Segovia;132;136695;1305,56;46;374465;412,07
2007;3;Provincia;7;Castilla y León;42;Soria;149;108160;1172,91;43;331575;362,10
2007;3;Provincia;7;Castilla y León;47;Valladolid;1044;127684;1524,15;176;205186;607,27
2007;3;Provincia;7;Castilla y León;49;Zamora;221;215729;1439,12;18;164353;459,34
2007;3;Comunidad;8;Castilla-La Mancha;98;CASTILLA-LA MANCHA;2189;147048;1207,07;1254;296905;517,75
2007;3;Provincia;8;Castilla-La Mancha;2;Albacete;634;135885;1023,38;385;179016;394,48
